Region,Level,Item,production
China,Activity,Processing of meat pigs,29093380.784993656
China,Activity,Processing of meat poultry,5546628.727352941
China,Activity,Processing of nuclear fuel,942066.7266493685
China,Activity,Processing vegetable oils and fats,71598815.08537462
China,Activity,Production of electricity by Geothermal,550.8459501405433
China,Activity,Production of electricity by biomass and waste,31369.47259096123
China,Activity,Production of electricity by coal,13856491.871174129
China,Activity,Production of electricity by gas,669225.0809680512
China,Activity,Production of electricity by hydro,2530779.8516021976
China,Activity,Production of electricity by nuclear,462509.3977579556
China,Activity,Production of electricity by petroleum and other oil derivatives,63393.45258545848
China,Activity,Production of electricity by solar photovoltaic,9234.707911536312
China,Activity,Production of electricity by solar thermal,0.0
China,Activity,"Production of electricity by tide, wave, ocean",39.60364213359355
China,Activity,Production of electricity by wind,258154.71080778606
China,Activity,Production of electricity nec,0.0
China,Activity,Production of meat products nec,4090865.331197829
China,Activity,Public administration and defence; compulsory social security (75),476533.94759901403
China,Activity,"Publishing, printing and reproduction of recorded media (22)",18774858.623145826
China,Activity,Pulp,5608038.462284822
China,Activity,Quarrying of sand and clay,12846301663.393047
China,Activity,Quarrying of stone,68967895.18008704
China,Activity,Raw milk,4943473.24532636
China,Activity,Re-processing of ash into clinker,251101146.65998963
China,Activity,Re-processing of secondary aluminium into new aluminium,8110558.070569348
China,Activity,Re-processing of secondary construction material into aggregates,65527099.49328282
China,Activity,Re-processing of secondary copper into new copper,2403347.6594269355
China,Activity,Re-processing of secondary glass into new glass,76655183.2628233
China,Activity,Re-processing of secondary lead into new lead,1295281.892000881
China,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,47659.40267645143
China,Activity,Re-processing of secondary paper into new pulp,30795629.039822735
China,Activity,Re-processing of secondary plastic into new plastic,18028379.052422583
China,Activity,Re-processing of secondary preciuos metals into new preciuos metals,11.436585634278314
China,Activity,Re-processing of secondary steel into new steel,282225453.0476746
China,Activity,Re-processing of secondary wood material into new wood material,5858676.985141813
China,Activity,Real estate activities (70),405057.72952942806
China,Activity,"Recreational, cultural and sporting activities (92)",78527.92488647018
China,Activity,Recycling of bottles by direct reuse,0.0
China,Activity,Recycling of waste and scrap,25420.41492399738
China,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),47579.8210317629
China,Activity,Research and development (73),66990.00927086722
China,Activity,Retail sale of automotive fuel,4515.009788697118
China,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",145458.08926160872
China,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",65998.3407469393
China,Activity,Sea and coastal water transport,50961.787500576356
China,Activity,Steam and hot water supply,3794892.7087486936
China,Activity,Sugar refining,16438818.031787347
China,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),199976.75909292875
China,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",895338.89764512
China,Activity,Transmission of electricity,30223.005691996448
China,Activity,Transport via pipelines,4333.024961333852
