Region,Level,Item,production
China,Activity,Processed rice,139163141.32034224
China,Activity,Processing of Food products nec,238581303.6971156
China,Activity,Processing of dairy products,1529347.172552369
China,Activity,Processing of meat cattle,3013910.68666632
China,Activity,Processing of meat pigs,29093380.992380053
China,Activity,Processing of meat poultry,5546628.768031988
China,Activity,Processing of nuclear fuel,942066.7484971213
China,Activity,Processing vegetable oils and fats,71598815.66760452
China,Activity,Production of electricity by Geothermal,550.8459616322559
China,Activity,Production of electricity by biomass and waste,31369.473245358342
China,Activity,Production of electricity by coal,13856492.16355956
China,Activity,Production of electricity by gas,669225.0950893434
China,Activity,Production of electricity by hydro,2530779.9043991636
China,Activity,Production of electricity by nuclear,462509.4084841476
China,Activity,Production of electricity by petroleum and other oil derivatives,63393.45392320068
China,Activity,Production of electricity by solar photovoltaic,9234.708104190197
China,Activity,Production of electricity by solar thermal,0.0
China,Activity,"Production of electricity by tide, wave, ocean",39.603642957705695
China,Activity,Production of electricity by wind,258154.71619339322
China,Activity,Production of electricity nec,0.0
China,Activity,Production of meat products nec,4090865.3707712414
China,Activity,Public administration and defence; compulsory social security (75),476533.94768512086
China,Activity,"Publishing, printing and reproduction of recorded media (22)",18774858.819170933
China,Activity,Pulp,5608038.541990436
China,Activity,Quarrying of sand and clay,12846301679.91989
China,Activity,Quarrying of stone,68967895.58300292
China,Activity,Raw milk,4943473.258633227
China,Activity,Re-processing of ash into clinker,251101149.81624004
China,Activity,Re-processing of secondary aluminium into new aluminium,8110558.219202066
China,Activity,Re-processing of secondary construction material into aggregates,65527099.5829896
China,Activity,Re-processing of secondary copper into new copper,2403347.7364526913
China,Activity,Re-processing of secondary glass into new glass,76655183.86347952
China,Activity,Re-processing of secondary lead into new lead,1295281.895512002
China,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,47659.40377357042
China,Activity,Re-processing of secondary paper into new pulp,30795629.43555226
China,Activity,Re-processing of secondary plastic into new plastic,18028379.904949725
China,Activity,Re-processing of secondary preciuos metals into new preciuos metals,11.436586748660472
China,Activity,Re-processing of secondary steel into new steel,282225458.1844044
China,Activity,Re-processing of secondary wood material into new wood material,5858677.124985409
China,Activity,Real estate activities (70),405057.7311536086
China,Activity,"Recreational, cultural and sporting activities (92)",78527.9251240861
China,Activity,Recycling of bottles by direct reuse,0.0
China,Activity,Recycling of waste and scrap,25420.415349406583
China,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),47579.8218533731
China,Activity,Research and development (73),66990.00976581514
China,Activity,Retail sale of automotive fuel,4515.009938314537
China,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",145458.0922372883
China,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",65998.34211417846
China,Activity,Sea and coastal water transport,50961.790179495365
China,Activity,Steam and hot water supply,3794893.0547746513
China,Activity,Sugar refining,16438818.139527481
China,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),199976.76169044487
China,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",895338.9162321803
China,Activity,Transmission of electricity,30223.006019522338
China,Activity,Transport via pipelines,4333.026037082765
China,Activity,Transport via railways,38569.788077287165
China,Activity,"Waste water treatment, food",781938.1022330322
China,Activity,"Waste water treatment, other",79366204.9569558
China,Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",282089.4270535561
China,Activity,"Wool, silk-worm cocoons",0.0
EU27,Activity,Activities auxiliary to financial intermediation (67),173108.60291771288
EU27,Activity,Activities of membership organisation n.e.c. (91),216562.3100708786
EU27,Activity,Air transport (62),129265.87569738575
EU27,Activity,Aluminium production,2346754.5515111126
EU27,Activity,Animal products nec,155931.0938686697
EU27,Activity,"Biogasification of food waste, incl. land application",1097565.6069454763
EU27,Activity,"Biogasification of paper, incl. land application",133199.7700702118
EU27,Activity,"Biogasification of sewage slugde, incl. land application",3804805.7457717545
EU27,Activity,Blast furnace gas production,191966189.22033834
EU27,Activity,Casting of metals,12970940.247553099
EU27,Activity,Cattle farming,3916600.4967053095
EU27,Activity,Chemicals nec,115018894.94935358
EU27,Activity,"Collection, purification and distribution of water (41)",49233.592827950066
EU27,Activity,"Composting of food waste, incl. land application",14978905.693462737
EU27,Activity,"Composting of paper and wood, incl. land application",63877.64169517922
EU27,Activity,Computer and related activities (72),379371.73235570046
EU27,Activity,Construction (45),1696108.5145130232
EU27,Activity,Copper production,1999171.6992738172
EU27,Activity,Cultivation of cereal grains nec,124638800.7150599
EU27,Activity,Cultivation of crops nec,372948.0992508923
EU27,Activity,Cultivation of oil seeds,24201250.004104063
EU27,Activity,Cultivation of paddy rice,2649643.8428721214
EU27,Activity,Cultivation of plant-based fibers,1066029.7041064997
EU27,Activity,"Cultivation of sugar cane, sugar beet",26160517.604603425
EU27,Activity,"Cultivation of vegetables, fruit, nuts",46833817.196600914
EU27,Activity,Cultivation of wheat,104981582.4545367
EU27,Activity,Distribution and trade of electricity,142086.93644640918
EU27,Activity,Distribution of gaseous fuels through mains,120377.66603819552
EU27,Activity,Education (80),703769.0742838635
EU27,Activity,Extra-territorial organizations and bodies,0.0
EU27,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",27948663.304915488
EU27,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",104927037.47792773
EU27,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
EU27,Activity,"Financial intermediation, except insurance and pension funding (65)",584235.5671087162
EU27,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",998239.1073057048
EU27,Activity,"Forestry, logging and related service activities (02)",256542468.7312044
EU27,Activity,Health and social work (85),1291075.3160476238
EU27,Activity,Hotels and restaurants (55),704740.4474929528
EU27,Activity,Hydrogen production with electrolysis,5200.0
EU27,Activity,Hydrogen production with steam reforming,44288370.0
EU27,Activity,Incineration of waste: Food,6867280.310544115
EU27,Activity,Incineration of waste: Metals and Inert materials,260423320.6173495
EU27,Activity,Incineration of waste: Oil/Hazardous waste,8380807.7245405195
EU27,Activity,Incineration of waste: Paper,6411412.346103817
EU27,Activity,Incineration of waste: Plastic,31875898.394091584
EU27,Activity,Incineration of waste: Textiles,2126089.079747483
EU27,Activity,Incineration of waste: Wood,13912156.388423398
EU27,Activity,Inland water transport,6762.622874299668
EU27,Activity,"Insurance and pension funding, except compulsory social security (66)",225357.09282183254
EU27,Activity,Landfill of waste: Food,14917140.099859972
EU27,Activity,Landfill of waste: Inert/metal/hazardous,1087505348.7404933
EU27,Activity,Landfill of waste: Paper,6046869.493218051
EU27,Activity,Landfill of waste: Plastic,17586033.47980774
EU27,Activity,Landfill of waste: Textiles,1605979.5562652382
