Region,EU27,RoW,China,India,Russia,USA
Level,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption
Item,,,,,,
other emissions (undef - Emiss),99775024.71997248,249290404.72639015,69422507.24853382,72220257.96538705,13577510.10642383,60760681.16614005
"Carbon dioxide, biogenic (air - Emiss)",322744668.01684123,1900354426.9854426,427762115.65937716,659077717.9412242,76365167.98276971,229067834.2186914
Other emissions nec (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
"Carbon dioxide, fossil (air - Emis_unreg_w)",3719467.693241573,30471898.36089619,6977395.989224874,12659439.522018706,2175872.532025317,5209348.741787658
N2O (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
CH4 (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
HFCs (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
PFCs (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
SF6 (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
NOX  (air - Emis_unreg_w),418.7323613863219,3438.619024924212,784.9224175071865,1423.6001035292154,244.68480167721054,585.8102478050439
SOx (air - Emis_unreg_w),4.797128023649123,39.39388785835505,8.992315074354176,16.309205069557997,2.803185106593285,6.711224198154872
NH3 (air - Emis_unreg_w),0.18962982966288863,1.553561051521147,0.3556838555584815,0.6454575189558233,0.1109396101877757,0.2656052273962604
NMVOC (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
CO  (air - Emis_unreg_w),76.97687343207856,630.6339368442481,144.39786117646074,262.00501827716596,45.03276163229459,107.81484519467053
CFCs (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
HCFCs (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Pb (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Cd (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Hg (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
As (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Cr (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Cu (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Ni (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Se (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Zn (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Aldrin (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Chlordane (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Chlordecone (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Dieldrin (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Endrin (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Heptachlor (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Hexabr.-biph. (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Mirex (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Toxaphene (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
HCH (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
DDT (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
PCB (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
dioxin (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
PM10 (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
"PAH (total of 4 components, sum of EM_AIR.43, 45, 46, 47) (air - Emis_unreg_w)",0.0,0.0,0.0,0.0,0.0,0.0
