Region,EU27,RoW,China,India,Russia,USA
Level,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption
Item,,,,,,
use as feed of crop residues (crop_res),0.0,0.0,0.0,0.0,0.0,0.0
use as straw of crop residues (crop_res),0.0,0.0,0.0,0.0,0.0,0.0
supply of energy crops (crop_res),0.0,0.0,0.0,0.0,0.0,0.0
use of energy crops (crop_res),279886.03421105,3743939.9388148696,578420.90007,836020.0,6229.519,20972.0
grass (crop_res),0.0,0.0,0.0,0.0,0.0,0.0
other non market feed (crop_res),0.0,0.0,0.0,0.0,0.0,0.0
use of other non-N nutrients from N-fertilisers (crop_res),674010.9662694845,181838.32070958408,11965.287037173632,0.0,340.28304563881164,156.8035774693022
Food (Unreg_w),14271073.63911713,116917175.99776608,26767890.38910127,48575542.151336014,8349041.652883623,19988794.831725053
Manure (Unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Textile (Unreg_w),0.00019851356525131387,0.0,3644.756045157641,0.0,0.0,0.0
Wood (Unreg_w),7.087091232336178,0.2655745486529054,7257.453122533967,0.0,0.0,0.0099999997473787
Paper (Unreg_w),0.1771253657683951,730.5987234323559,1723.1530944207811,0.0,0.0,0.0100000007078051
Plastics (Unreg_w),8802.364038626058,31511.836070516296,2300.7519784433457,0.0,0.0,0.0
Glass (Unreg_w),4246.486416752443,195403.48069458897,1.214315346198037,0.030006657549478,0.030057665122967498,0.0
Ashes (Unreg_w),17577.614976935827,180283.67253136312,0.0199999978212872,0.0099999997764825,0.0199954607847243,0.0099999973026569
Steel (Unreg_w),2136.7290661886386,0.3032845465198467,5.383794699129009,0.029999929815858,0.0300177788896575,0.0099999966332688
Precious metals (Unreg_w),0.20298588808735685,2.046700085099823,0.0223651359281487,0.059366120847887296,0.015241875202006401,0.0100958153238526
Aluminium (Unreg_w),828.4844285771538,2799.00361596587,0.4674608660739119,0.030000558104262498,0.030110267100653003,0.0099999973317608
Lead (Unreg_w),12.401439838975062,17.64775743838936,0.0659881601329287,34.0687307698861,0.0370404312074432,0.009999970305671
Copper (Unreg_w),7.933958431553413,0.7203375352821427,0.1130956645803082,0.030004117585555302,0.0303067274004951,0.0099999725036923
non-ferrous metals (Unreg_w),7.7476323835647,1.4246794926127817,0.94428434573167,0.0299990058761209,0.0303955387910591,0.009999986566072
Construction materials and mining waste (excl. unused mining material) (Unreg_w),37.61265407486662,0.2536554128552442,0.0388162873833362,0.0299999728388432,0.0299937487596223,0.0099999969079362
Oils and hazardous materials (Unreg_w),69.22988641080526,3344.5837027990683,0.0534786657041286,0.0300004829714451,0.0310544794293096,0.0099999967642361
Sewage (Unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Mining waste (Unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (Unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: High-skilled female,0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: High-skilled male,0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: Low-skilled female,0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: Low-skilled male,0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: Medium-skilled female,0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: Medium-skilled male,0.0,0.0,0.0,0.0,0.0,0.0
Employment hours: Vulnerable employment,0.0,0.0,0.0,0.0,0.0,0.0
Employment: High-skilled female,0.0,0.0,0.0,0.0,0.0,0.0
Employment: High-skilled male,0.0,0.0,0.0,0.0,0.0,0.0
Employment: Low-skilled female,0.0,0.0,0.0,0.0,0.0,0.0
Employment: Low-skilled male,0.0,0.0,0.0,0.0,0.0,0.0
Employment: Medium-skilled female,0.0,0.0,0.0,0.0,0.0,0.0
Employment: Medium-skilled male,0.0,0.0,0.0,0.0,0.0,0.0
Employment: Vulnerable employment,0.0,0.0,0.0,0.0,0.0,0.0
