Region,Level,Item,production
China,Activity,Processed rice,139163141.3203485
China,Activity,Processing of Food products nec,238581303.6971231
China,Activity,Processing of dairy products,1529347.1725524375
China,Activity,Processing of meat cattle,3013910.68666646
China,Activity,Processing of meat pigs,29093380.99238163
China,Activity,Processing of meat poultry,5546628.768032318
China,Activity,Processing of nuclear fuel,942066.7484971508
China,Activity,Processing vegetable oils and fats,71598815.66760856
China,Activity,Production of electricity by Geothermal,550.845961632298
China,Activity,Production of electricity by biomass and waste,31369.473245318455
China,Activity,Production of electricity by coal,13856492.163560655
China,Activity,Production of electricity by gas,669225.0950894143
China,Activity,Production of electricity by hydro,2530779.9043993563
China,Activity,Production of electricity by nuclear,462509.4084841769
China,Activity,Production of electricity by petroleum and other oil derivatives,63393.45392305282
China,Activity,Production of electricity by solar photovoltaic,9234.708104190893
China,Activity,Production of electricity by solar thermal,0.0
China,Activity,"Production of electricity by tide, wave, ocean",39.60364296038395
China,Activity,Production of electricity by wind,258154.7161934126
China,Activity,Production of electricity nec,0.0
China,Activity,Production of meat products nec,4090865.370771555
China,Activity,Public administration and defence; compulsory social security (75),476533.9476850561
China,Activity,"Publishing, printing and reproduction of recorded media (22)",18774858.819176793
China,Activity,Pulp,5608038.541991117
China,Activity,Quarrying of sand and clay,12846301679.918268
China,Activity,Quarrying of stone,68967895.58299625
China,Activity,Raw milk,4943473.258633398
China,Activity,Re-processing of ash into clinker,251101149.81623375
China,Activity,Re-processing of secondary aluminium into new aluminium,8110558.219201943
China,Activity,Re-processing of secondary construction material into aggregates,65527099.582981355
China,Activity,Re-processing of secondary copper into new copper,2403347.736452626
China,Activity,Re-processing of secondary glass into new glass,76655183.8634789
China,Activity,Re-processing of secondary lead into new lead,1295281.8955118777
China,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,47659.40377357055
China,Activity,Re-processing of secondary paper into new pulp,30795629.435555298
China,Activity,Re-processing of secondary plastic into new plastic,18028379.904950406
China,Activity,Re-processing of secondary preciuos metals into new preciuos metals,11.436587051047265
China,Activity,Re-processing of secondary steel into new steel,282225458.1844
China,Activity,Re-processing of secondary wood material into new wood material,5858677.124985529
China,Activity,Real estate activities (70),405057.73115362925
China,Activity,"Recreational, cultural and sporting activities (92)",78527.92512461742
China,Activity,Recycling of bottles by direct reuse,0.0
China,Activity,Recycling of waste and scrap,25420.41534936768
China,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),47579.82185316612
China,Activity,Research and development (73),66990.0097658179
China,Activity,Retail sale of automotive fuel,4515.009938294452
China,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",145458.09223713877
China,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",65998.34211417778
China,Activity,Sea and coastal water transport,50961.79017979909
China,Activity,Steam and hot water supply,3794893.0547746103
China,Activity,Steel production through 100%H2-DR,0.0
China,Activity,Steel production through NG-DR,0.0
China,Activity,Steel production with BF-BOF + CCUS,0.0
China,Activity,Steel production with H2 inj to BF,0.0
China,Activity,Steel production with charcoal inj to BF,0.0
China,Activity,Steel production with charcoal inj to BF + CCUS,0.0
China,Activity,Sugar refining,16438818.13952807
China,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),199976.76169044554
China,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",895338.916232198
China,Activity,Transmission of electricity,30223.006019523677
China,Activity,Transport via pipelines,4333.026037093216
China,Activity,Transport via railways,38569.78807731609
China,Activity,"Waste water treatment, food",781938.1022330662
China,Activity,"Waste water treatment, other",79366204.95695937
China,Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",282089.4270535965
China,Activity,"Wool, silk-worm cocoons",0.0
EU27,Activity,Activities auxiliary to financial intermediation (67),173108.6029176986
EU27,Activity,Activities of membership organisation n.e.c. (91),216562.31007089381
EU27,Activity,Air transport (62),129265.87569735639
EU27,Activity,Aluminium production,2346754.5515107205
EU27,Activity,Animal products nec,155931.09386866828
EU27,Activity,"Biogasification of food waste, incl. land application",1097565.6069454555
EU27,Activity,"Biogasification of paper, incl. land application",133199.7700702036
EU27,Activity,"Biogasification of sewage slugde, incl. land application",3804805.7457716335
EU27,Activity,Blast furnace gas production,191966189.22032887
EU27,Activity,Casting of metals,12970940.24754584
EU27,Activity,Cattle farming,3916600.4967052336
EU27,Activity,Chemicals nec,115018894.94934984
EU27,Activity,"Collection, purification and distribution of water (41)",49233.59282823623
EU27,Activity,"Composting of food waste, incl. land application",14978905.693462346
EU27,Activity,"Composting of paper and wood, incl. land application",63877.641695173865
EU27,Activity,Computer and related activities (72),379371.7323556184
EU27,Activity,Construction (45),1696108.514513282
EU27,Activity,Copper production,1999171.6992735981
EU27,Activity,Cultivation of cereal grains nec,124638800.71505676
EU27,Activity,Cultivation of crops nec,372948.099250887
EU27,Activity,Cultivation of oil seeds,24201250.004103728
EU27,Activity,Cultivation of paddy rice,2649643.8428720236
EU27,Activity,Cultivation of plant-based fibers,1066029.7041064906
EU27,Activity,"Cultivation of sugar cane, sugar beet",26160517.60460248
EU27,Activity,"Cultivation of vegetables, fruit, nuts",46833817.19660026
EU27,Activity,Cultivation of wheat,104981582.4545345
EU27,Activity,Distribution and trade of electricity,142086.93644632437
EU27,Activity,Distribution of gaseous fuels through mains,120377.66603820678
EU27,Activity,Education (80),703769.0742838515
EU27,Activity,Extra-territorial organizations and bodies,0.0
EU27,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",27948663.304914825
EU27,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",104927037.47792079
EU27,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
EU27,Activity,"Financial intermediation, except insurance and pension funding (65)",584235.5671086471
EU27,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",998239.1073056785
EU27,Activity,"Forestry, logging and related service activities (02)",256542468.73111838
EU27,Activity,Health and social work (85),1291075.3160475923
EU27,Activity,Hotels and restaurants (55),704740.4474928207
EU27,Activity,Hydrogen production with electrolysis,5200.0
